Task,Phrase,Score,Description
Notification,cmms,15.0,"Notification shall be issued prior to execution for each maintenance work item (excluding havaria) generated in the Computerized Maintenance Management System (hereinafter: CMMS).

On MOL Group level preferable CMMS is standard SAP solution. Equipment database in CMMS has to be fulfilled and updated by dedicated responsible person. Processes in CMMS have to be simplified enough, but still in line with MOL Group LDA, with minimal number of paperwork.

Each Notification should contain technical scope of work, the latest admissible completion date, the earliest start date, the materials provided by the requestor and the work completion priority. All ordered works shall be assigned to a dedicated funding source.
The notifications can be issued by local Maintenance staff, Operation staff or generated automatically by System. 
Special group of works is the Autonomous maintenance activities. These works are issued in CMMS, executed by Business unit Maintenance staff or Operation staff but without mandatory prioritization on RBWS. 
"
Notification,operation staff,9.25,"Notification shall be issued prior to execution for each maintenance work item (excluding havaria) generated in the Computerized Maintenance Management System (hereinafter: CMMS).

On MOL Group level preferable CMMS is standard SAP solution. Equipment database in CMMS has to be fulfilled and updated by dedicated responsible person. Processes in CMMS have to be simplified enough, but still in line with MOL Group LDA, with minimal number of paperwork.

Each Notification should contain technical scope of work, the latest admissible completion date, the earliest start date, the materials provided by the requestor and the work completion priority. All ordered works shall be assigned to a dedicated funding source.
The notifications can be issued by local Maintenance staff, Operation staff or generated automatically by System. 
Special group of works is the Autonomous maintenance activities. These works are issued in CMMS, executed by Business unit Maintenance staff or Operation staff but without mandatory prioritization on RBWS. 
"
Notification,mandatory prioritization,2.0,"Notification shall be issued prior to execution for each maintenance work item (excluding havaria) generated in the Computerized Maintenance Management System (hereinafter: CMMS).

On MOL Group level preferable CMMS is standard SAP solution. Equipment database in CMMS has to be fulfilled and updated by dedicated responsible person. Processes in CMMS have to be simplified enough, but still in line with MOL Group LDA, with minimal number of paperwork.

Each Notification should contain technical scope of work, the latest admissible completion date, the earliest start date, the materials provided by the requestor and the work completion priority. All ordered works shall be assigned to a dedicated funding source.
The notifications can be issued by local Maintenance staff, Operation staff or generated automatically by System. 
Special group of works is the Autonomous maintenance activities. These works are issued in CMMS, executed by Business unit Maintenance staff or Operation staff but without mandatory prioritization on RBWS. 
"
Work order selection (RBWS),normal process ssc maintenance supplier plan,163.8357142857143,"For each maintenance work item, prioritizing shall be done through risk assessment or Risk Based Work Selection (hereinafter: RBWS) prior to ordering which then gets recorded in the CMMS. The potential hazards are evaluated according to valid risk Matrix. The necessity of performing or rejecting a given work item, and the latest admissible completion date shall be determined on the basis of the assessed risks. As the part of overall operation responsibility, the final decision about priority is made by Operation.
The maintenance works are categorized as follows:
•    technically plannable and schedulable works, that are called “Normal”
•    schedule breaker works, that can be “Urgent” works or “Emergency” (havaria) works
•    small works.

Normal works
     
Work to be technically planned by Maintenance staff and/or SSC where relevant and scheduled in advance by SSC/Maintenance supplier through a normal process. SSC/Maintenance supplier plans shall be prepared in 14 calendar days and gives proposal for the scheduling. Requestor shall approve it in 7 calendar days. Earliest start date shall be minimum the 22nd day from the date of ordering. Start before 22nd day is possible only based on previous agreement between supplier and Operation - free capacities are available on supplier site and asset is available for maintenance. In case of work orders with Normal priority SSC is required to prepare and submit offer for approval.

Urgent and emergency (havaria) works

Work order is considered to be urgent if the requested starting date of execution is between the 4th and the 21st day from the requesting date. Maintenance supplier shall prepare detailed plan depending on available resources, but it is not mandatory. 

Emergency works are not plannable, ex-post administrated works where work starts immediately and lasts until the problem is solved. An attempt shall be made to register the work order within a working day after the work started.

These works can be accounted based on factual due to time limitation for detailed technical preparation, but in case of possibility - similarly to normal works - the technical preparation and the usage of “preliminary technical and prize offer” accounting solution has to be used. In case of urgent works the administration shall be before work execution.
"
Work order selection (RBWS),valid risk matrix,142.5,"For each maintenance work item, prioritizing shall be done through risk assessment or Risk Based Work Selection (hereinafter: RBWS) prior to ordering which then gets recorded in the CMMS. The potential hazards are evaluated according to valid risk Matrix. The necessity of performing or rejecting a given work item, and the latest admissible completion date shall be determined on the basis of the assessed risks. As the part of overall operation responsibility, the final decision about priority is made by Operation.
The maintenance works are categorized as follows:
•    technically plannable and schedulable works, that are called “Normal”
•    schedule breaker works, that can be “Urgent” works or “Emergency” (havaria) works
•    small works.

Normal works
     
Work to be technically planned by Maintenance staff and/or SSC where relevant and scheduled in advance by SSC/Maintenance supplier through a normal process. SSC/Maintenance supplier plans shall be prepared in 14 calendar days and gives proposal for the scheduling. Requestor shall approve it in 7 calendar days. Earliest start date shall be minimum the 22nd day from the date of ordering. Start before 22nd day is possible only based on previous agreement between supplier and Operation - free capacities are available on supplier site and asset is available for maintenance. In case of work orders with Normal priority SSC is required to prepare and submit offer for approval.

Urgent and emergency (havaria) works

Work order is considered to be urgent if the requested starting date of execution is between the 4th and the 21st day from the requesting date. Maintenance supplier shall prepare detailed plan depending on available resources, but it is not mandatory. 

Emergency works are not plannable, ex-post administrated works where work starts immediately and lasts until the problem is solved. An attempt shall be made to register the work order within a working day after the work started.

These works can be accounted based on factual due to time limitation for detailed technical preparation, but in case of possibility - similarly to normal works - the technical preparation and the usage of “preliminary technical and prize offer” accounting solution has to be used. In case of urgent works the administration shall be before work execution.
"
Work order selection (RBWS),overall operation responsibility,129.0,"For each maintenance work item, prioritizing shall be done through risk assessment or Risk Based Work Selection (hereinafter: RBWS) prior to ordering which then gets recorded in the CMMS. The potential hazards are evaluated according to valid risk Matrix. The necessity of performing or rejecting a given work item, and the latest admissible completion date shall be determined on the basis of the assessed risks. As the part of overall operation responsibility, the final decision about priority is made by Operation.
The maintenance works are categorized as follows:
•    technically plannable and schedulable works, that are called “Normal”
•    schedule breaker works, that can be “Urgent” works or “Emergency” (havaria) works
•    small works.

Normal works
     
Work to be technically planned by Maintenance staff and/or SSC where relevant and scheduled in advance by SSC/Maintenance supplier through a normal process. SSC/Maintenance supplier plans shall be prepared in 14 calendar days and gives proposal for the scheduling. Requestor shall approve it in 7 calendar days. Earliest start date shall be minimum the 22nd day from the date of ordering. Start before 22nd day is possible only based on previous agreement between supplier and Operation - free capacities are available on supplier site and asset is available for maintenance. In case of work orders with Normal priority SSC is required to prepare and submit offer for approval.

Urgent and emergency (havaria) works

Work order is considered to be urgent if the requested starting date of execution is between the 4th and the 21st day from the requesting date. Maintenance supplier shall prepare detailed plan depending on available resources, but it is not mandatory. 

Emergency works are not plannable, ex-post administrated works where work starts immediately and lasts until the problem is solved. An attempt shall be made to register the work order within a working day after the work started.

These works can be accounted based on factual due to time limitation for detailed technical preparation, but in case of possibility - similarly to normal works - the technical preparation and the usage of “preliminary technical and prize offer” accounting solution has to be used. In case of urgent works the administration shall be before work execution.
"
Work order selection (RBWS),work selection rbws,128.57142857142856,"For each maintenance work item, prioritizing shall be done through risk assessment or Risk Based Work Selection (hereinafter: RBWS) prior to ordering which then gets recorded in the CMMS. The potential hazards are evaluated according to valid risk Matrix. The necessity of performing or rejecting a given work item, and the latest admissible completion date shall be determined on the basis of the assessed risks. As the part of overall operation responsibility, the final decision about priority is made by Operation.
The maintenance works are categorized as follows:
•    technically plannable and schedulable works, that are called “Normal”
•    schedule breaker works, that can be “Urgent” works or “Emergency” (havaria) works
•    small works.

Normal works
     
Work to be technically planned by Maintenance staff and/or SSC where relevant and scheduled in advance by SSC/Maintenance supplier through a normal process. SSC/Maintenance supplier plans shall be prepared in 14 calendar days and gives proposal for the scheduling. Requestor shall approve it in 7 calendar days. Earliest start date shall be minimum the 22nd day from the date of ordering. Start before 22nd day is possible only based on previous agreement between supplier and Operation - free capacities are available on supplier site and asset is available for maintenance. In case of work orders with Normal priority SSC is required to prepare and submit offer for approval.

Urgent and emergency (havaria) works

Work order is considered to be urgent if the requested starting date of execution is between the 4th and the 21st day from the requesting date. Maintenance supplier shall prepare detailed plan depending on available resources, but it is not mandatory. 

Emergency works are not plannable, ex-post administrated works where work starts immediately and lasts until the problem is solved. An attempt shall be made to register the work order within a working day after the work started.

These works can be accounted based on factual due to time limitation for detailed technical preparation, but in case of possibility - similarly to normal works - the technical preparation and the usage of “preliminary technical and prize offer” accounting solution has to be used. In case of urgent works the administration shall be before work execution.
"
Work order selection (RBWS),admissible completion date,115.0,"For each maintenance work item, prioritizing shall be done through risk assessment or Risk Based Work Selection (hereinafter: RBWS) prior to ordering which then gets recorded in the CMMS. The potential hazards are evaluated according to valid risk Matrix. The necessity of performing or rejecting a given work item, and the latest admissible completion date shall be determined on the basis of the assessed risks. As the part of overall operation responsibility, the final decision about priority is made by Operation.
The maintenance works are categorized as follows:
•    technically plannable and schedulable works, that are called “Normal”
•    schedule breaker works, that can be “Urgent” works or “Emergency” (havaria) works
•    small works.

Normal works
     
Work to be technically planned by Maintenance staff and/or SSC where relevant and scheduled in advance by SSC/Maintenance supplier through a normal process. SSC/Maintenance supplier plans shall be prepared in 14 calendar days and gives proposal for the scheduling. Requestor shall approve it in 7 calendar days. Earliest start date shall be minimum the 22nd day from the date of ordering. Start before 22nd day is possible only based on previous agreement between supplier and Operation - free capacities are available on supplier site and asset is available for maintenance. In case of work orders with Normal priority SSC is required to prepare and submit offer for approval.

Urgent and emergency (havaria) works

Work order is considered to be urgent if the requested starting date of execution is between the 4th and the 21st day from the requesting date. Maintenance supplier shall prepare detailed plan depending on available resources, but it is not mandatory. 

Emergency works are not plannable, ex-post administrated works where work starts immediately and lasts until the problem is solved. An attempt shall be made to register the work order within a working day after the work started.

These works can be accounted based on factual due to time limitation for detailed technical preparation, but in case of possibility - similarly to normal works - the technical preparation and the usage of “preliminary technical and prize offer” accounting solution has to be used. In case of urgent works the administration shall be before work execution.
"
Work order selection (RBWS),maintenance work item,110.35714285714286,"For each maintenance work item, prioritizing shall be done through risk assessment or Risk Based Work Selection (hereinafter: RBWS) prior to ordering which then gets recorded in the CMMS. The potential hazards are evaluated according to valid risk Matrix. The necessity of performing or rejecting a given work item, and the latest admissible completion date shall be determined on the basis of the assessed risks. As the part of overall operation responsibility, the final decision about priority is made by Operation.
The maintenance works are categorized as follows:
•    technically plannable and schedulable works, that are called “Normal”
•    schedule breaker works, that can be “Urgent” works or “Emergency” (havaria) works
•    small works.

Normal works
     
Work to be technically planned by Maintenance staff and/or SSC where relevant and scheduled in advance by SSC/Maintenance supplier through a normal process. SSC/Maintenance supplier plans shall be prepared in 14 calendar days and gives proposal for the scheduling. Requestor shall approve it in 7 calendar days. Earliest start date shall be minimum the 22nd day from the date of ordering. Start before 22nd day is possible only based on previous agreement between supplier and Operation - free capacities are available on supplier site and asset is available for maintenance. In case of work orders with Normal priority SSC is required to prepare and submit offer for approval.

Urgent and emergency (havaria) works

Work order is considered to be urgent if the requested starting date of execution is between the 4th and the 21st day from the requesting date. Maintenance supplier shall prepare detailed plan depending on available resources, but it is not mandatory. 

Emergency works are not plannable, ex-post administrated works where work starts immediately and lasts until the problem is solved. An attempt shall be made to register the work order within a working day after the work started.

These works can be accounted based on factual due to time limitation for detailed technical preparation, but in case of possibility - similarly to normal works - the technical preparation and the usage of “preliminary technical and prize offer” accounting solution has to be used. In case of urgent works the administration shall be before work execution.
"
Work order selection (RBWS),normal schedule breaker,103.8,"For each maintenance work item, prioritizing shall be done through risk assessment or Risk Based Work Selection (hereinafter: RBWS) prior to ordering which then gets recorded in the CMMS. The potential hazards are evaluated according to valid risk Matrix. The necessity of performing or rejecting a given work item, and the latest admissible completion date shall be determined on the basis of the assessed risks. As the part of overall operation responsibility, the final decision about priority is made by Operation.
The maintenance works are categorized as follows:
•    technically plannable and schedulable works, that are called “Normal”
•    schedule breaker works, that can be “Urgent” works or “Emergency” (havaria) works
•    small works.

Normal works
     
Work to be technically planned by Maintenance staff and/or SSC where relevant and scheduled in advance by SSC/Maintenance supplier through a normal process. SSC/Maintenance supplier plans shall be prepared in 14 calendar days and gives proposal for the scheduling. Requestor shall approve it in 7 calendar days. Earliest start date shall be minimum the 22nd day from the date of ordering. Start before 22nd day is possible only based on previous agreement between supplier and Operation - free capacities are available on supplier site and asset is available for maintenance. In case of work orders with Normal priority SSC is required to prepare and submit offer for approval.

Urgent and emergency (havaria) works

Work order is considered to be urgent if the requested starting date of execution is between the 4th and the 21st day from the requesting date. Maintenance supplier shall prepare detailed plan depending on available resources, but it is not mandatory. 

Emergency works are not plannable, ex-post administrated works where work starts immediately and lasts until the problem is solved. An attempt shall be made to register the work order within a working day after the work started.

These works can be accounted based on factual due to time limitation for detailed technical preparation, but in case of possibility - similarly to normal works - the technical preparation and the usage of “preliminary technical and prize offer” accounting solution has to be used. In case of urgent works the administration shall be before work execution.
"
Work order selection (RBWS),risk assessment,100.5,"For each maintenance work item, prioritizing shall be done through risk assessment or Risk Based Work Selection (hereinafter: RBWS) prior to ordering which then gets recorded in the CMMS. The potential hazards are evaluated according to valid risk Matrix. The necessity of performing or rejecting a given work item, and the latest admissible completion date shall be determined on the basis of the assessed risks. As the part of overall operation responsibility, the final decision about priority is made by Operation.
The maintenance works are categorized as follows:
•    technically plannable and schedulable works, that are called “Normal”
•    schedule breaker works, that can be “Urgent” works or “Emergency” (havaria) works
•    small works.

Normal works
     
Work to be technically planned by Maintenance staff and/or SSC where relevant and scheduled in advance by SSC/Maintenance supplier through a normal process. SSC/Maintenance supplier plans shall be prepared in 14 calendar days and gives proposal for the scheduling. Requestor shall approve it in 7 calendar days. Earliest start date shall be minimum the 22nd day from the date of ordering. Start before 22nd day is possible only based on previous agreement between supplier and Operation - free capacities are available on supplier site and asset is available for maintenance. In case of work orders with Normal priority SSC is required to prepare and submit offer for approval.

Urgent and emergency (havaria) works

Work order is considered to be urgent if the requested starting date of execution is between the 4th and the 21st day from the requesting date. Maintenance supplier shall prepare detailed plan depending on available resources, but it is not mandatory. 

Emergency works are not plannable, ex-post administrated works where work starts immediately and lasts until the problem is solved. An attempt shall be made to register the work order within a working day after the work started.

These works can be accounted based on factual due to time limitation for detailed technical preparation, but in case of possibility - similarly to normal works - the technical preparation and the usage of “preliminary technical and prize offer” accounting solution has to be used. In case of urgent works the administration shall be before work execution.
"
Work order selection (RBWS),potential hazard,96.0,"For each maintenance work item, prioritizing shall be done through risk assessment or Risk Based Work Selection (hereinafter: RBWS) prior to ordering which then gets recorded in the CMMS. The potential hazards are evaluated according to valid risk Matrix. The necessity of performing or rejecting a given work item, and the latest admissible completion date shall be determined on the basis of the assessed risks. As the part of overall operation responsibility, the final decision about priority is made by Operation.
The maintenance works are categorized as follows:
•    technically plannable and schedulable works, that are called “Normal”
•    schedule breaker works, that can be “Urgent” works or “Emergency” (havaria) works
•    small works.

Normal works
     
Work to be technically planned by Maintenance staff and/or SSC where relevant and scheduled in advance by SSC/Maintenance supplier through a normal process. SSC/Maintenance supplier plans shall be prepared in 14 calendar days and gives proposal for the scheduling. Requestor shall approve it in 7 calendar days. Earliest start date shall be minimum the 22nd day from the date of ordering. Start before 22nd day is possible only based on previous agreement between supplier and Operation - free capacities are available on supplier site and asset is available for maintenance. In case of work orders with Normal priority SSC is required to prepare and submit offer for approval.

Urgent and emergency (havaria) works

Work order is considered to be urgent if the requested starting date of execution is between the 4th and the 21st day from the requesting date. Maintenance supplier shall prepare detailed plan depending on available resources, but it is not mandatory. 

Emergency works are not plannable, ex-post administrated works where work starts immediately and lasts until the problem is solved. An attempt shall be made to register the work order within a working day after the work started.

These works can be accounted based on factual due to time limitation for detailed technical preparation, but in case of possibility - similarly to normal works - the technical preparation and the usage of “preliminary technical and prize offer” accounting solution has to be used. In case of urgent works the administration shall be before work execution.
"
