Model,Task,Role,Description,ScoredKeyphrases
Support Processes,110.1.a Administrative return goods,Terminal manager,"If during the delivery new freight documents must be issued (e.g. misprinting, transport means failure, faulty data input etc.), the transaction must be cancelled within the accounting system, with reference made to the initial documents, and the product must be re-issued with the proper data and correct documents","[('delivery new freight document', 24.666666666666668), ('failure faulty data input', 18.5), ('accounting system', 8.0), ('initial document', 6.666666666666666), ('proper data', 5.5), ('correct document', 4.666666666666666)]"
30. Lifting from terminal  / Release to market ,Receiving the transport means - Train,Dispatcher / shift supervisor,"Registration must be kept on the transport means arriving at the terminal/loading station.

It must be checked whether the relevant “commercial sales order” or “disposition” is available for the shipment. In their absence starting the loading procedure is not allowed.
Rail Loading: 

The empty rail tank cars must be taken over from the sending railway company in a takeover/handover procedure. 
During this acceptance both the compliance with the RID requirements, and the existence of the equipment specified for rail tank cars, along with the technical state of their valves, must be inspected. A protocol must be prepared on the inspection which must be performed using the check list with the data contents as per Appendix 11.
Check list must not be taken in case of rail tank cars used for gaseous products or pentanes transportation during takeover/handover process.
A rail tank car report must be made if the RTCs are damaged or deficient.

For gas transport wagons every arriving wagon must be weighted and its empty weight defined. The tank bottom residue must be established from the difference between the labelled and the measured empty weights. 

Loading may be started only into RTC qualified as suitable during the inspection.

If a non-conformity is found, it must be recorded in a protocol. 
Registration must be kept on the RTC received from the railway company and parked in the terminal.

","[('takeover handover process rail tank car report', 121.9), ('relevant commercial sale order', 120.0), ('empty rail tank car', 72.23333333333333), ('takeover handover procedure', 65.0), ('rail tank car', 57.9), ('loading procedure', 56.0), ('rid requirement', 46.0), ('technical state', 42.0), ('check list', 36.0), ('data content', 36.0), ('gas transport wagon', 32.5), ('gaseous product', 30.0), ('railway company', 28.0), ('pentanes transportation', 28.0), ('tank bottom', 25.2), ('compliance', 24.0), ('empty weight', 22.333333333333336), ('rail', 21.2), ('valve', 20.0), ('terminal', 16.0), ('rtcs', 12.0), ('wagon', 10.5), ('protocol registration', 8.0), ('non-conformity', 5.0), ('rtc', 4.5)]"
30. Lifting from terminal  / Release to market ,Checking loading conditions  - Train,Dispatcher / shift supervisor,"Prior to starting the loading operation the emptiness and cleanliness of the tank to be loaded must be checked. Only empty and clean vehicle can be loaded.
In case of gaseous products and pentanes tanks, it is not possible to check them for cleanliness and emptiness.
Rail Loading:

In case the terminal has a railway bridge scale a tare reading must be obtained prior to the loading operation. The compliance between the tare reading and the registered label weight must be checked. 

For “P” wagons, if the RTC is not clean, or is holding product residues, the owner of the railway car and Rail and Barge Transportation Management organisation must be notified. In case of gaseous products and pentanes, the LPG Commercial must be notified if the weight of the product residue is more than one ton.

The quantity to be loaded must be defined in the loading instructions in accordance with the domestic and export load limitations (axle load limits) and with the specifications in RID Appendix V Chapter I. 

Loading may be started only on the basis of a “Loading permit/instruction” (IT application or process control software is equivalent) issued in writing by the shift supervisor/dispatcher, in which a reference must be made to the “commercial purchase order”, and must include as minimum the following:
•    product designation
•    quantity that can be loaded
•    quantity to be loaded
•    order identification  
","[('railway bridge scale', 68.0), ('clean vehicle', 58.0), ('registered label weight', 57.0), ('barge transportation management organisation', 56.0), ('pentanes tank', 55.5), ('rid appendix chapter i. loading', 45.0), ('loading operation', 43.5), ('tare reading', 43.0), ('rail loading', 37.5), ('loading permit instruction application', 37.0), ('railway car', 36.0), ('gaseous product', 34.0), ('tank', 28.5), ('export load limitation', 26.5), ('terminal', 25.0), ('loading instruction', 25.0), ('product residue', 24.5), ('compliance', 21.0), ('rail', 20.5), ('lpg commercial', 19.5), ('following product designation quantity', 19.5), ('wagon', 18.0), ('rtc', 17.0), ('load limit', 16.5), ('process control software', 15.0), ('commercial purchase order', 12.5), ('shift supervisor dispatcher', 12.0), ('order identification', 3.0)]"
30. Lifting from terminal  / Release to market ,Loading the transport means  - Train,Operator,"In case no deviation is found during the inspection prior to loading, the loading of the product may be started.
The process operations of the loading/discharging arms and the requirements associated with the procedure must be regulated in local operating instructions which must include as minimum the following:

•    Functions and responsibilities for
o    Operator
o    Personnel of the transport means
o    Representative of the boat (for barge procedure)
•    Personal requirements (qualifications, headcount etc.)
•    Hauling alongside/pulling up at the process/technology with the transport means
•    Adjusting the valves (line-up configuration, set values, valve positions)
•    Connecting to the process
•    Flow and quality checking during the procedure
•    Health, safety and environmental specifications
•    Handling deviations (from normal operating mode, emergency etc.)
•    Handling wastes and phases
•    Documenting

Special truck loading requirements for automated loading gantries:
In case the loading is to be performed by the truck driver he must get training on the operation of the process. Registration must be kept on the training.

","[('barge procedure personal requirement qualification', 62.0), ('local operating instruction', 54.0), ('etc hauling alongside', 39.0), ('discharging arm', 38.0), ('following function', 34.0), ('valve line-up configuration', 33.0), ('operator personnel', 32.0), ('process operation', 30.75), ('procedure health safety', 27.0), ('process technology', 22.75), ('process flow', 20.75), ('special truck loading requirement', 20.0), ('quality checking', 18.0), ('boat', 15.0), ('environmental specification', 14.0), ('mode emergency', 12.0), ('process registration', 11.75), ('handling waste', 10.0), ('truck driver', 5.0), ('gantry', 3.0)]"
30. Lifting from terminal  / Release to market ,Quality control - Train,Quality Control,"Loading may be started from a tank having the suitable qualifications only. In case a tank change-over becomes required during the discharging procedure the new tank must also have the suitable qualifications. Registration must be kept on the finding of the qualification (e.g. certificates).
Rail Loading

A sample must be taken from the loaded RTC, according to EU or National standard in force. Records of the sampling must be kept. The certificate of conformity must be issued on the basis of the sample analysis.
If the delivery is for energetic purposes certificate of conformity must be issued on the basis of tank sample results.

The samples taken for verifying the conformity of the product being discharged must be kept safe as control samples for one month, with the requirements of Group Guideline QC_1 “Quality Control” adhered to. In case of gaseous products and pentanes, control samples must not be stored for archiving.

In case of non conformity (mechanical contamination, opacity) observable also visually during the loading procedure, the loading procedure must be stopped and the finding reported immediately to the responsible manager, and the loading may be resumed with a permit in writing from the responsible manager only.
","[('tank change-over becomes', 74.25), ('suitable qualification', 49.0), ('new tank', 46.25), ('energetic purpose certificate', 43.5), ('tank sample result', 43.25), ('qualification certificate', 41.5), ('group guideline qc_1 quality control', 39.666666666666664), ('national standard', 36.0), ('discharging procedure', 35.666666666666664), ('force record', 34.0), ('non conformity mechanical contamination opacity', 30.5), ('sample analysis', 24.0), ('pentanes control sample', 23.666666666666668), ('tank', 22.25), ('rail', 21.0), ('rtc', 20.0), ('eu', 19.0), ('control sample', 17.666666666666668), ('sampling', 16.0), ('loading procedure', 14.166666666666666), ('gaseous product', 14.0), ('conformity', 10.5), ('responsible manager', 3.0)]"
30. Lifting from terminal  / Release to market ,Issuing the transport documents - Train,Dispatcher / shift supervisor,"Rail Loading

The quantity of the loaded goods must be established either using a calibrated flow meter, or by weighting, and number entered on the transport documents.

For each railway tank car/target train a “quality certificate” must be issued.

Goods accompanying documents required for railway delivery are:
•    Release to free circulation: SAD (Single Administration Document)
•    With duty suspension, or for exports: e-AAD (Accompanying Administration Document)
•    Delivery note
•    Conformity declaration
•    Bill of lading
•    Consignment note 
•    Quality certificate
","[('railway tank car target', 27.0), ('export e-aad accompanying administration document delivery note conformity declaration bill', 24.666666666666668), ('loaded good', 20.0), ('circulation sad single administration document', 19.666666666666668), ('flow meter', 18.0), ('transport document', 12.666666666666668), ('rail', 11.0), ('railway delivery', 9.5), ('consignment note quality certificate', 9.5), ('quality certificate', 7.0), ('duty suspension', 6.0)]"
30. Lifting from terminal  / Release to market ,"Transferring the risk of product, registering the discharge  - Train",Dispatcher / shift supervisor,"Rail Loading:

On the loaded rail tank cars numbered seals must be placed at least to the unloading nozzles on both sides, to the hand wheel of the crown valves and to the dome cover, and additionally – subject to the rail tank car design – to places offering the possibility of an access to the goods. Registration of the placed RTC seals must be kept.  

The number of the seals affixed must be indicated on the bill of lading.

After the goods accompanying documents have been issued the loaded and sealed railway tankers must be departed to the railway company in an acceptance/transfer procedure. 
A protocol (such as Railway Tanker Car Departure Form) must be prepared on the acceptance / transfer of the RTCs and the goods accompanying documents.

In case the terminal has a calibrated weighing bridge the certificate made on the weighting must also be attached to the freight documents. 

The second copy of the bills of lading handed over to the railway service must be archived.

Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
","[('railway tanker car departure form', 271.0), ('rail tank car design', 224.25), ('loaded rail tank car', 219.25), ('acceptance transfer procedure protocol', 198.25), ('unloading nozzle', 124.0), ('hand wheel', 122.0), ('crown valve', 120.0), ('dome cover', 118.0), ('incomplete security seal', 111.33333333333334), ('railway company', 107.5), ('railway tanker', 107.0), ('product transfer pipeline function', 99.25), ('railway service', 98.5), ('weighing bridge', 98.0), ('second copy', 94.0), ('accompanying administration document', 93.66666666666666), ('suspended excise tax', 92.9), ('member state authority', 90.5), ('rtc seal', 90.33333333333334), ('acceptance transfer', 90.25), ('excise duty mineral oil product', 87.0), ('mol group', 84.0), ('freight document', 83.66666666666666), ('relevant transportation unit road rail barge', 78.75), ('loaded quantity', 76.0), ('transport difference', 75.66666666666666), ('product transfer pipeline', 74.25), ('eu delivery', 74.0), ('product transport pipeline', 72.66666666666666), ('counter signature', 72.0), ('document saad', 64.16666666666666), ('several liability', 64.0), ('finance guard agency', 63.0), ('current authority supervision', 62.5), ('free circulation', 62.0), ('transport loss', 55.666666666666664), ('tax warehouse', 55.06666666666666), ('special tax', 52.4), ('rtcs', 51.0), ('rail', 47.75), ('acceptable loss norm', 47.0), ('country-specific loss regulation', 45.666666666666664), ('terminal', 45.5), ('lead seal', 37.333333333333336), ('accounting', 35.5), ('acceptable loss', 34.0), ('applicable national regulation', 32.166666666666664), ('non-excise duty', 31.5), ('product storage management', 29.0), ('saad', 28.5), ('total quantity', 26.0), ('authority report', 23.5), ('authority', 22.5), ('applicable regulation', 22.166666666666664), ('custom', 22.0), ('present table', 18.0), ('product balance', 17.0), ('transportation process', 15.0)]"
30. Lifting from terminal  / Release to market ,Receiving the transport means-Road,Dispatcher / shift supervisor,"Registration must be kept on the transport means arriving at the terminal/loading station.

It must be checked whether the relevant “commercial sales order” or “disposition” is available for the shipment. In their absence starting the loading procedure is not allowed.
Truck Loading:

Prior to pulling up at the loading station both the proper technical condition of the vehicle and the trailer, and the compliance with the ADR requirements must be checked. 
Upon delivery by liquefied gas transport truck the suitability of the tanker for loading must be documented in a protocol – check list, data sheet (signs, documents, existence of equipment ad per ADR) – and the protocol archived with the signature of the person performed the inspection. 

In automatic tanker loading stations only drivers who have received a loading station specific training may carry out the loading procedure. In the absence of safety training the loading operation must not be started. Registration must be kept on the drivers who have been trained.

Special expectation regarding the top loading in case of automate loading system (e.g. COTAS)

At the Depots or Terminals where bottom loading implemented, according to legal requirements in the country, the top loading can be allowed only by the terminal leader or the person assigned by the depot manager. Intention of top loading the driver must declare about the fuel type of last transportation by each compartment in document format. Based on the filled document the terminal leader or the person assigned by the depot manager may permit/refuse the top loading.

If gasoline type of fuel was transported in the last transport the top loading is prohibited in line with the EU regular norms regarding VOC (Volatile Organic Compound) emission reduction and takes the HSE aspect into account.

","[('protocol check list data sheet sign document existence', 223.0), ('relevant commercial sale order', 160.0), ('proper technical condition', 108.0), ('truck loading prior', 95.5), ('automate loading system cotas', 86.0), ('gas transport truck', 83.5), ('station specific training', 83.5), ('adr requirement', 57.0), ('equipment ad', 56.0), ('automatic tanker', 55.5), ('loading procedure', 55.0), ('loading station', 54.5), ('loading operation', 47.0), ('special expectation', 46.0), ('legal requirement', 43.0), ('bottom loading', 42.0), ('top loading', 35.5), ('vehicle', 35.0), ('terminal leader', 34.75), ('trailer', 34.0), ('compliance', 33.0), ('document format', 31.0), ('tanker', 28.5), ('last transport', 27.0), ('depot manager', 24.0), ('fuel type', 24.0), ('last transportation', 22.0), ('terminal', 21.75), ('gasoline type', 16.0), ('compartment', 12.0), ('voc volatile organic compound emission reduction', 12.0), ('eu regular norm', 9.0), ('hse aspect', 2.0)]"
30. Lifting from terminal  / Release to market ,Checking loading conditions - Road,Dispatcher / shift supervisor,"Prior to starting the loading operation the emptiness and cleanliness of the tank to be loaded must be checked. Only empty and clean vehicle can be loaded.
In case of gaseous products and pentanes tanks, it is not possible to check them for cleanliness and emptiness.
Truck Loading:

For checking the emptiness of the tank trucks a suitable place must be provided (installed with standard connecting/coupling surface) within the dispensing facility.
Checking the emptiness of the tank cars used for gaseous products and pentanes is not necessary at LPG terminals.
Checking of the emptiness is the responsibility of the truck driver.

In case of road transport vehicles delivering gaseous products and pentanes if the difference between deadweight - checked during document control - and measured tara weight is more than can be proved by the level of fuel tank of the truck, the loading must be denied. 
It is necessary to contact the organization responsible for disposition of the transport. Further manipulation with the truck is allowed only after mutual agreement according to the instructions of carrier or customer. 

Loading may be started only on the basis of a “Loading permit/instruction” (IT application or process control software is equivalent) issued in writing by the shift supervisor/dispatcher, in which a reference must be made to the “commercial purchase order”, and must include as minimum the following:
•    product designation
•    quantity that can be loaded
•    quantity to be loaded
•    order identification  
","[('road transport vehicle', 59.0), ('clean vehicle', 56.0), ('suitable place', 52.0), ('loading operation', 51.5), ('dispensing facility', 50.0), ('tank car', 49.2), ('pentanes tank', 47.86666666666667), ('tank truck', 44.8), ('lpg terminal', 42.0), ('gaseous product', 41.91666666666667), ('truck driver', 39.6), ('fuel tank', 39.2), ('truck loading', 38.1), ('loading permit instruction application', 36.5), ('tara weight', 30.0), ('document control', 26.5), ('transport manipulation', 26.0), ('customer loading', 25.5), ('tank', 25.2), ('following product designation quantity', 24.25), ('pentanes', 22.666666666666668), ('process control software', 20.5), ('truck', 19.6), ('mutual agreement', 18.0), ('organization', 12.0), ('shift supervisor dispatcher', 12.0), ('carrier', 8.0), ('commercial purchase order', 8.0), ('order identification', 3.0)]"
30. Lifting from terminal  / Release to market ,Loading the transport means -Road,Operator,"In case no deviation is found during the inspection prior to loading, the loading of the product may be started.
The process operations of the loading/discharging arms and the requirements associated with the procedure must be regulated in local operating instructions which must include as minimum the following:

•    Functions and responsibilities for
o    Operator
o    Personnel of the transport means
o    Representative of the boat (for barge procedure)
•    Personal requirements (qualifications, headcount etc.)
•    Hauling alongside/pulling up at the process/technology with the transport means
•    Adjusting the valves (line-up configuration, set values, valve positions)
•    Connecting to the process
•    Flow and quality checking during the procedure
•    Health, safety and environmental specifications
•    Handling deviations (from normal operating mode, emergency etc.)
•    Handling wastes and phases
•    Documenting

Special truck loading requirements for automated loading gantries:
In case the loading is to be performed by the truck driver he must get training on the operation of the process. Registration must be kept on the training.

","[('barge procedure personal requirement qualification', 62.0), ('local operating instruction', 54.0), ('etc hauling alongside', 39.0), ('discharging arm', 38.0), ('following function', 34.0), ('valve line-up configuration', 33.0), ('operator personnel', 32.0), ('process operation', 30.75), ('procedure health safety', 27.0), ('process technology', 22.75), ('process flow', 20.75), ('special truck loading requirement', 20.0), ('quality checking', 18.0), ('boat', 15.0), ('environmental specification', 14.0), ('mode emergency', 12.0), ('process registration', 11.75), ('handling waste', 10.0), ('truck driver', 5.0), ('gantry', 3.0)]"
30. Lifting from terminal  / Release to market ,Quality control- Road,Quality Control,"Loading may be started from a tank having the suitable qualifications only. In case a tank change-over becomes required during the discharging procedure the new tank must also have the suitable qualifications. Registration must be kept on the finding of the qualification (e.g. certificates).
Truck Loading
Once a day and after every tank change-over, the control analysis of samples taken from each product type on the loading gantries must be performed. Registration must be kept on the finding of the qualification (e.g. certificates).

For tank trucks, transporting gas, an individual sampling must be carried out for every delivery of non-energetic purposes, and the certificate of conformity issued on the basis of the sample results.
If the delivery is for energetic purposes certificate of conformity must be issued on the basis of tank sample results.

The samples taken for verifying the conformity of the product being discharged must be kept safe as control samples for one month, with the requirements of Group Guideline QC_1 “Quality Control” adhered to. In case of gaseous products and pentanes, control samples must not be stored for archiving.

In case of non conformity (mechanical contamination, opacity) observable also visually during the loading procedure, the loading procedure must be stopped and the finding reported immediately to the responsible manager, and the loading may be resumed with a permit in writing from the responsible manager only.
","[('tank change-over becomes', 84.0), ('suitable qualification', 55.0), ('new tank', 52.0), ('energetic purpose certificate', 47.16666666666667), ('tank sample result', 46.5), ('tank truck', 46.0), ('qualification certificate', 45.66666666666667), ('group guideline qc_1 quality control', 43.5), ('discharging procedure', 41.0), ('product type', 36.5), ('truck loading', 35.25), ('control analysis', 34.5), ('loading gantry', 34.25), ('individual sampling', 34.0), ('non-energetic purpose', 30.5), ('non conformity mechanical contamination opacity', 30.5), ('pentanes control sample', 27.5), ('loading procedure', 25.25), ('tank', 24.0), ('sample result', 22.5), ('control sample', 21.5), ('gaseous product', 21.5), ('gas', 18.0), ('conformity', 10.5), ('responsible manager', 3.0)]"
30. Lifting from terminal  / Release to market ,Issuing the transport documents-Road,Dispatcher / shift supervisor,"Truck Loading

After the loading into the tank truck is completed the truck must be driven off from the loading island within the shortest time possible up to the exit point.
The goods accompanying documents required as minimum for the tank truck exit are:

•    Release to free circulation: SAD (Single Administration Document)
•    With duty suspension, or for exports: e-AAD (Accompanying Administration Document)
•    Bill of lading – if required (to meet authority obligation)
•    weighting sheet or delivery note,
•    conformity declaration
•    quality certificate

In case the road tank truck is leaving the terminal empty or with an empty compartment, a protocol must be prepared and the security services informed. Upon exit from the terminal the empty state of the tanker/compartment must be checked, or for gas transport trucks the emptiness must be controlled by comparing the tare weight measured upon entry to the tara weight measured prior to exit.
","[('export e-aad accompanying administration document bill', 80.0), ('circulation sad single administration document', 73.0), ('delivery note conformity declaration quality certificate', 66.0), ('tank truck exit', 45.833333333333336), ('road tank truck', 39.333333333333336), ('truck loading', 34.333333333333336), ('exit point', 33.5), ('tank truck', 29.333333333333336), ('duty suspension', 28.0), ('authority obligation', 24.0), ('gas transport truck', 20.333333333333336), ('terminal empty', 14.833333333333332), ('truck', 14.333333333333334), ('security service', 14.0), ('empty compartment', 13.333333333333332), ('empty state', 12.333333333333332), ('tanker compartment', 10.0), ('terminal', 7.5), ('tare weight', 3.5), ('tara weight', 2.5)]"
30. Lifting from terminal  / Release to market ,"Transferring the risk of product, registering the discharge- Road",Dispatcher / shift supervisor,"
Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
","[('incomplete security seal', 99.5), ('suspended excise tax', 92.9), ('member state authority', 90.5), ('accompanying administration document', 87.5), ('excise duty mineral oil product', 87.0), ('mol group', 84.0), ('product transfer pipeline function', 83.5), ('transport difference', 75.66666666666666), ('eu delivery', 74.0), ('product transport pipeline', 72.66666666666666), ('counter signature', 72.0), ('loaded quantity', 66.0), ('several liability', 64.0), ('finance guard agency', 63.0), ('current authority supervision', 62.5), ('free circulation', 62.0), ('product transfer pipeline', 58.5), ('document saad', 58.0), ('transport loss', 55.666666666666664), ('tax warehouse', 55.06666666666666), ('special tax', 52.4), ('acceptable loss norm', 47.0), ('country-specific loss regulation', 45.666666666666664), ('terminal', 41.0), ('relevant transportation unit road rail barge', 37.0), ('accounting', 35.5), ('acceptable loss', 34.0), ('applicable national regulation', 32.166666666666664), ('non-excise duty', 31.5), ('product storage management', 29.0), ('saad', 28.5), ('total quantity', 26.0), ('lead seal', 25.5), ('authority report', 23.5), ('authority', 22.5), ('applicable regulation', 22.166666666666664), ('custom', 22.0), ('present table', 18.0), ('product balance', 17.0), ('transportation process', 15.0)]"
30. Lifting from terminal  / Release to market ,Receiving the transport means - Barge,Dispatcher / shift supervisor,"Registration must be kept on the transport means arriving at the terminal/loading station.

It must be checked whether the relevant “commercial sales order” or “disposition” is available for the shipment. In their absence starting the loading procedure is not allowed.
Barge / vessel Loading:

Prior to starting the loading operation, the compliance with the ADN conditions must be inspected. A protocol must be prepared on the inspection which must be performed using the check list with the data contents as per Appendix 12. 

","[('relevant commercial sale order', 32.0), ('loading procedure', 13.0), ('barge vessel', 12.0), ('loading operation', 11.0), ('terminal', 9.0), ('adn condition', 6.0), ('compliance', 4.0), ('check list', 4.0), ('data content', 2.0)]"
30. Lifting from terminal  / Release to market ,Checking loading conditions - Barge,Dispatcher / shift supervisor,"Prior to starting the loading operation the emptiness and cleanliness of the tank to be loaded must be checked. Only empty and clean vehicle can be loaded.
In case of gaseous products and pentanes tanks, it is not possible to check them for cleanliness and emptiness.
Barge Loading:

Prior to starting the loading operation a documented statement must be asked from the supplier (or its agent) in respect of the ship being suitable (clean, free of product residues etc.) for the transportation of the product to be shipped (Appendix 13). If the statement is refused this fact must be reported to the competent commercial organisation and to the Rail and Barge Transportation Management organisation. 

For CIF, CFR and DES delivery terms, and with FOB delivery term, the loading operation may not be started, or only with an approval in writing from the competent commercial organisation, if a deviation is found during the emptiness check, or in the absence of a supplier statement.

For FOB delivery term – the transfer point is the end point of the loading arm – if no deviation is found, the loading operation may be carried out even in the absence of a statement

Loading may be started only on the basis of a “Loading permit/instruction” (IT application or process control software is equivalent) issued in writing by the shift supervisor/dispatcher, in which a reference must be made to the “commercial purchase order”, and must include as minimum the following:
•    product designation
•    quantity that can be loaded
•    quantity to be loaded
•    order identification  
","[('barge transportation management organisation', 82.5), ('barge loading prior', 66.875), ('clean vehicle', 60.0), ('pentanes tank', 57.5), ('competent commercial organisation', 50.833333333333336), ('de delivery term', 49.33333333333333), ('gaseous product', 47.0), ('fob delivery term', 45.83333333333333), ('product residue', 41.0), ('documented statement', 40.0), ('cif cfr', 38.0), ('loading operation', 36.875), ('loading permit instruction application', 34.375), ('statement loading', 31.375), ('tank', 29.5), ('emptiness check', 28.0), ('supplier statement', 28.0), ('loading arm', 25.375), ('ship', 24.0), ('following product designation quantity', 24.0), ('transfer point', 21.5), ('rail', 21.0), ('end point', 20.5), ('commercial purchase order', 18.333333333333336), ('process control software', 15.0), ('shift supervisor dispatcher', 12.0), ('order identification', 3.0)]"
30. Lifting from terminal  / Release to market ,Loading the transport means - Barge,Operator,"In case no deviation is found during the inspection prior to loading, the loading of the product may be started.
The process operations of the loading/discharging arms and the requirements associated with the procedure must be regulated in local operating instructions which must include as minimum the following:

•    Functions and responsibilities for
o    Operator
o    Personnel of the transport means
o    Representative of the boat (for barge procedure)
•    Personal requirements (qualifications, headcount etc.)
•    Hauling alongside/pulling up at the process/technology with the transport means
•    Adjusting the valves (line-up configuration, set values, valve positions)
•    Connecting to the process
•    Flow and quality checking during the procedure
•    Health, safety and environmental specifications
•    Handling deviations (from normal operating mode, emergency etc.)
•    Handling wastes and phases
•    Documenting

Special truck loading requirements for automated loading gantries:
In case the loading is to be performed by the truck driver he must get training on the operation of the process. Registration must be kept on the training.

","[('barge procedure personal requirement qualification', 62.0), ('local operating instruction', 54.0), ('etc hauling alongside', 39.0), ('discharging arm', 38.0), ('following function', 34.0), ('valve line-up configuration', 33.0), ('operator personnel', 32.0), ('process operation', 30.75), ('procedure health safety', 27.0), ('process technology', 22.75), ('process flow', 20.75), ('special truck loading requirement', 20.0), ('quality checking', 18.0), ('boat', 15.0), ('environmental specification', 14.0), ('mode emergency', 12.0), ('process registration', 11.75), ('handling waste', 10.0), ('truck driver', 5.0), ('gantry', 3.0)]"
30. Lifting from terminal  / Release to market ,Quality control - Barge,Quality Control,"Loading may be started from a tank having the suitable qualifications only. In case a tank change-over becomes required during the discharging procedure the new tank must also have the suitable qualifications. Registration must be kept on the finding of the qualification (e.g. certificates).
Barge Loading

Unless otherwise is regulated in the commercial contract, the quality of the loaded product must be qualified from the average combined sample generated from the samples taken from the loading arm at the beginning, half way through and after the completion of loading procedure. A verifying certificate must be prepared on the qualifications, which is then to be attached to the goods accompanying documents.
In case when the barge/vessel was cleaned directly before loading (1st loading after cleaning), samples should be taken from the compartment of the barge/vessel after completing the loading procedure in order to check the quality.

The samples taken for verifying the conformity of the product being discharged must be kept safe as control samples for one month, with the requirements of Group Guideline QC_1 “Quality Control” adhered to. In case of gaseous products and pentanes, control samples must not be stored for archiving.

In case of non conformity (mechanical contamination, opacity) observable also visually during the loading procedure, the loading procedure must be stopped and the finding reported immediately to the responsible manager, and the loading may be resumed with a permit in writing from the responsible manager only.
","[('tank change-over becomes', 81.0), ('new tank', 52.0), ('suitable qualification', 51.0), ('barge loading unless', 50.33333333333333), ('average combined sample', 49.333333333333336), ('procedure verifying certificate', 47.5), ('qualification certificate', 44.5), ('commercial contract', 42.0), ('group guideline qc_1 quality control', 39.666666666666664), ('discharging procedure', 38.0), ('half way', 34.0), ('loaded product', 33.5), ('loading arm', 30.0), ('barge vessel', 29.833333333333332), ('non conformity mechanical contamination opacity', 27.5), ('tank', 27.0), ('st loading', 26.0), ('pentanes control sample', 25.0), ('loading procedure', 24.0), ('gaseous product', 20.5), ('control sample', 19.0), ('compartment', 13.0), ('conformity', 7.5), ('responsible manager', 3.0)]"
