id;curriculum;nameHu;nameEn;hasLearningMaterialHU;hasLearningMaterialEN
TT-Menedzsment_eljárás-137;TA-Information System Analyst-134, TA-Gazdaságinformatika-137;Menedzsment eljárás;Management Procedure;==Menedzsment eljárás== Az informatikai környezetben az egyik legnagyobb kockázatot az emberek, a humán tényező jelenti. Részletesen a CISA Review Manual 2009 2.7 fejezete tárgyalja a kockázat mérséklését szolgáló menedzsment eljárásokat;=Management Procedure=  == Definition of Management ==  '''Management''' in all business areas and organizational activities are the acts of getting people together to accomplish desired goals and objectives efficiently and effectively.  '''Management pro
AF-Megengedett_állapot-136;TA-Information System Analyst-134, TA-Gazdaságinformatika-137;Megengedett állapot;false;== Megengedett állapot fogalma == A megfigyelt paraméter azon értéke, amelynek a kívánt állapottól való eltérése még nem igényel beavatkozást a folyamatba. == Megengedett állapot irodalom == #'''[Szabó 2007]''': Szabó Z., \Az üzleti info;false
AF-Döntési_állapot-136;TA-Information System Analyst-134, TA-Gazdaságinformatika-137;Döntési állapot;false;== Döntési állapot fogalom ==  Ha a mérés/érzékelés során a figyelni kívánt paraméter értéke eltér a kívánatos értéktől, és  beavatkozással van reális esély arra, hogy a folyamat az adott paraméter szempontjából a következő id;false
AF-Szolgáltatáséletciklus-137;TA-Gazdaságinformatika-137;Szolgáltatáséletciklus;Service Lifecycle;Az életciklus fogalma az ITIL V3‐ban egy alapvető kérdés megfogalmazása érdekében lett kialakítva: a szolgáltatásirányítást a teljes életciklus során szem előtt kell tartani.  Nem elég egy új alkalmazást kifejleszteni, majd szolgáltatásként átnevezve „átdobni a falon túlra” Már az túlra . ITIL V2 Alkalmazásmenedzsment c. kötete is az integrációt hangsúlyozta. Az eSCM, a CMMI és más megközelítések szintén elismerik az igényt a nagyobb integrációra, de az ITIL V3 az, amely leírja, hogy mi ennek a legjobb gyakorlata.  Hasonló életciklust használtak különböző tanácsadási módszertanok, és erre alapozva a Software Engineering Institute (SEI) is beépítette a szolgáltatásszerződés életciklusának fogalmát az eSCM‐be.   Az életciklus következményeinek megértése kell, hogy áthasson minden szolgáltatásmenedzsment által hozott döntést.  Különböző életciklusok vannak használatban különböző célokra: * Deming‐cycle, amelyre az ISO‐szabványokban és az ITIL‐ben is hivatkoznak * ITIL V3 szolgáltatási életciklus * menedzsmentmegoldás életciklusa az IBM‐től * szolgáltatásnyújtási életciklus * szolgáltatásszerződés életciklusa az eSCM‐ben ;The architecture of the ITIL Core is based on a Service Lifecycle. Each volume of the core is represented in the Service Lifecycle. Service Design, Service Transition, and Service Operation are progressive phases of the Lifecycle that represent change and transformation. Service Strategy represents policies and objectives. Continual Service Improvement represents learning and improvement.  Service Strategy (SS) is the axis around which the lifecycle rotates. Service Design (SD), Service Transition (ST), and Service Operation (SO) implement Strategy. Continual Service Improvement (CSI) helps place and prioritizes improvement programmes and projects based on strategic objectives.  Each publication addresses capabilities having direct impact on a service provider’s performance.  The structure of the core is in the form of a lifecycle. It is iterative and multidimensional. It ensures organizations are set up to leverage capabilities in one area for learning and improvements in others A closed‐loop feedback system, based on the Plan‐Do‐Check‐Act (PDCA) model, is established and capable of receiving inputs for change from any planning perspective – either strategic, or tactical or even operational.  [[Image:ITIL V3 Servicelifecycle.gif|||||]] 
TT-Adattárház-136;TA-Information System Analyst-134, TA-Gazdaságinformatika-137;AdattárházRégi;Data WarehauseOld;==Az adattárház fogalma==  Az adattárház a döntéstámogatási tevékenységek forrása, alapvető célja az elemzésekhez szükséges információ biztosítása. Adatait a tranzakciós forrás-rendszerektől elkülönítve tárolja. Nagy mennyiség�;false
TT-Szolgáltatásstratégia-137;TA-Gazdaságinformatika-137;Szolgáltatásstratégia;Service Strategy;==Rendeltetése==  A ITIL szolgáltatásstratégia területe útmutatást ad arra, hogy a szolgáltatásmenedzsmentet hogyan tervezzék meg, fejlesszék ki és valósítsák meg, hogy az ne csak egyszerű szervezeti képesség legyen, hanem stratégiai es;=Service Strategy=  [[Image:ITIL V3 Servicelifecycle.gif|||thumb||]] Service Strategy provides guidance on how to design, develop, and implement service management not only as an organizational capability but as a strategic asset.  Organizations use the g
TT-OLAP-136;TA-Döntéstámogatás-136, TA-Gazdaságinformatika-137;OLAP;false;==Az OLAP fogalma==  Az on-line elemző feldolgozás (On-line Analytical Processing, OLAP) multidimenzionális nézeteken keresztül biztosít gyors adatelérést a felhasználók számára.  Az OLAP jellemzői (Codd, 1993)  * Sokdimenziós fogalmi megkö;false
TT-Rendelkezésre_állás_menedzsment_ITIL_folyamata-137;TA-Gazdaságinformatika-137;Rendelkezésre állás menedzsment ITIL folyamata;ITIL Process of Availability Management;==Feladata==  A rendelkezésreállás‐menedzsment rendeltetése az, hogy fókuszpontba és a vezetés figyelmébe állítsa az összes rendelkezésre állással kapcsolatos kérdést mind a szolgáltatások, mind az erőforrások szintjén – biztosít;=ITIL Process of Availibility Management=  The purpose of Availability Management is to provide a point of focus and management for all availability related issues, relating to both services and resources, ensuring that availability targets in all areas a
AF-Kockázat-137;TA-Information System Analyst-134, TA-managing_business-119, TA-Insurance-48, TA-Gazdaságinformatika-137;Kockázat;Risk;A kockázat úgy határozható meg, mint a kimenetel bizonytalansága függetlenül attól, hogy pozitív jellegű lehetőségről vagy negatív jellegű fenyegetésről van szó. A kockázatok kezelése az olyan kockázatnak való kitettség mértékének meghatározását és felügyeletét igényli, amely hatással van a szervezet üzleti céljainak teljesülésére.  A kockázatelemzés a kockázatnak való kitettségről történő információgyűjtéssel foglalkozik annak érdekében, hogy a szervezet megfelelő döntéseket hozhasson, és a kockázatokat megfelelően kezelhesse.  A kockázatok kezelése olyan folyamatok meglétét igényli, amelyek figyelemmel követik a kockázatokat, megbízható és naprakész információkhoz férnek hozzá a kockázatokról, kellő egyensúlyt tartanak e kockázatok felügyeleténél, valamint olyan döntéstámogató folyamatokat, amelyeket kockázatelemzési és‐ értékelési rendszer támogat. A kockázatkezelés olyan ellenintézkedések azonosítására, kiválasztására és jóváhagyására is kiterjed amelyeket az eszközöket fenyegető kiterjed, kockázatok indokolnak, mert ezek miatt meghibásodás, sőt esetleg szolgáltatásokat is érintő hatás következik be, továbbá ezen kockázatok elfogadható szintre való csökkentésére. ;=Risk=  ==About Risk== There are many definitions of risk, reflecting that risk means different things to different people .   Perhaps one of the most succinct definitions of risk used within the information security business world is provided by the Guid
TT-Integrált_vállalatirányítási_rendszer-136;false;Integrált vállalatirányítási rendszer;false;==Az integrált vállalatirányítási rendszer fogalma== Az <b>integrált vállalatirányítási rendszer</b> olyan egységes rendszer, amely egy vállalat valamennyi feldolgozását megvalósíthatja, központi adatbázisában minden adat csak egyszer s;false
TT-Rendszerelemzés_és_-tervezés-135;TA-Information System Analyst-134;Rendszerelemzés;System Analysis;==Elemzési technikák==  ===A fogalmi adatmodellezés===  Legjellemzőbb fogalmi adatmodellezés az entitás-kapcsolat modell (Entity Relationships (ER) Modell). Az ER modell segítségével az adatok egymáshoz való kapcsolatai egyértelműen ábrázol;=System Analysis=  In this stage the analyst investigates the needs of the user and develops a conceptual solution  to the problem. One human failing we all tend to exhibit is to rush into proposing solutions before we fully understand the problem we are 
OF-Kommunikáció_osztályozása-135;false;Kommunikáció osztályozása;false;== A kommunikáció osztályozása ==  A hagyományos kommunikáció hely és idő szerinti osztályozása:  [[Image:Hagyom_komm.JPG]]  A számítógépes kommunikáció hely és idő szerinti osztályozása:  [[Image:Szgepes_komm.JPG]]   == Kommunikáci�;false
TT-Informatikai_támadás-135;TA-Gazdaságinformatika-137;Informatikai támadás;Attack;      [[label:=Informatikai támadás| ]] [[id::Informatikai_támadás| ]];=Attack= An action taken against a target with the intention of doing harm.  ==Further definitions== An attack is any attempt to destroy, expose, alter, disable, steal or gain unauthorized access to or make unauthorized use of an asset.  An assault on sys
TT-E-business-135;TA-Gazdaságinformatika-137;Elektronikus üzletvitel;Electronic business;"<div class=\NavFrame\"" type=\""theoverb\""> <div class=\""NavHead\"">'''Az informatika szerepe hagyományos illetve elektronikus üzletvitel esetén'''</div> <div class=\""NavContent\"">  A hagyományos üzletvitel esetén a felmerült üzleti kihívásokra, üzleti igényekre igyekszik az informatika minél jobb megoldást nyújtani. Másképp fogalmazva az üzleti oldal által leírt problémákra, azok megoldására fejlesztet ki alkalmazásokat, különböző informatikai rendszereket.  Az Internet, a webes és mobil technológiák megjelenése és rohamos elterjedése megfordította a tendenciát. A technológiai újítások gyorsan tettek szert nagy népszerűségre a felhasználók körében, ez pedig arra kényszeríti a vállalatokat, hogy megtalálják, kidolgozzák ezen technológiák üzleti felhasználásának lehetőségeit. Ennek egyik legjellemzőbb területe az elektronikus üzletvitel, más néven e-business. Röviden az elektronikus üzletvitel a piac, a vállalatok és szervezetek, a folyamatok és rendszerek integrálása Internet alapú technológiák segítségével.   </div> </div> <br/>  <div class=\""NavFrame\"" type=\""theovisu\""> <div class=\""NavHead\"">'''Az informatika szerepe hagyományos illetve elektronikus üzletvitel esetén (ábra)'''</div> <div class=\""NavContent\"">  [[Image:TechnologiaSzerepe.jpg|{type}|center|600px|{border}|]]  </div> </div> <br/>   <div class=\""NavFrame\"" type=\""pracverb\""> <div class=\""NavHead\"">'''Népszerű honlapok a technológia világából '''</div> <div class=\""NavContent\"">  A technológia üzleti és mindennapi életre gyakorolt hatásának fontosságát is jól szemlélteti azon honlapok magas száma és népszerűsége, melyek híreket, véleményeket, kutatási eredményeket közölnek videók, blogok és cikkek formájában: A világ 15 legnépszerűbb, az informatika és más technológiák üzleti és társadalmi hatásaival foglalkozó honlapja: *cNet **http://www.cnet.com/ *Mashable  **http://mashable.com/ *TechCrunch  **http://techcrunch.com/ *Wired **http://www.wired.com/ *ZDNet **http://www.zdnet.com/ *WebProNews **http://www.webpronews.com/ *ArsTechnica **http://arstechnica.com/ *VentureBeat **http://venturebeat.com/ *TheNextWeb **http://thenextweb.com *GigaOM - a feltörekvő technológiák globális hangja **https://gigaom.com/ *InformationWeek **http://www.informationweek.com/ *SitePoint **http://www.sitepoint.com/ *ReadWrite **http://readwrite.com/ *SearchEngineLand **http://searchengineland.com/ *DigitalPoint **https://www.digitalpoint.com/  </div> </div> <br/>  <div class=\""NavFrame\"" type=\""theovisu\""> <div class=\""NavHead\"">'''Elektronikus üzletvitel alapfogalmai (ábra)'''</div> <div class=\""NavContent\"">  [[Image:EbusinessFogalmai2.jpg|{type}|center|600px|{border}|]]   </div> </div> <br/>  <div class=\""NavFrame\"" type=\""theomix2\""> <div class=\""NavHead\"">'''Elektronikus üzletvitel és elektronikus kereskedelem különbségének tisztázása (videóval)'''</div> <div class=\""NavContent\"">  Az e-üzletvitel tágabb fogalom az e-kereskedelemnél, nem csupán a kereskedelmi tevékenységre utal, hanem a fogyasztók számára nyújtott szolgáltatásokat, az üzleti partnerekkel való együttműködést és a szervezeten belüli elektronikus tranzakciókat is magában foglalja.  Az e-kereskedelem fogalma a termékek, szolgáltatások, információk elektronikus hálózatokon keresztül történő cseréjének, értékesítésének folyamatát jelenti. Az elektronikus kereskedelem leírható több perspektívából is (kommunikációs-, üzleti folyamat-, szolgáltatási-, online-). Az e-üzletvitel tágabb fogalom, az elektronikus hálózatokon (internet, extranet, intranet) keresztül bonyolított gazdasági tevékenységek összessége  <nowiki> <iframe width=\""560\"" height=\""315\"" src=\""https://www.youtube.com/embed/1VQMpr5fI8Q\"" frameborder=\""0\"" allowfullscreen></iframe> </nowiki> </div> </div> <br/>    <div class=\""NavFrame\"" type=\""pracmix2\""> <div class=\""NavHead\"">'''Az e-business gyakorlati hatása statisztikai adatokkal alátámasztva (ábrával) '''</div> <div class=\""NavContent\"">  Az Internet és az online megoldások megjelenése alapvetően változtatta meg a napi munkavégzést is: *2008 júniusára világszerte több mint 80 millió cégnek volt már Internetes oldal.  *A magyarországi kiskereskedelemben szinte csak az internetes értékesítésben résztvevő kereskedők tudtak jelentős forgalomnövekedést realizálni 2011-ben és ugyanebben az évben a magyarországi online kiskereskedelem 155 milliárd Ft-os forgalmat bonyolított. A teljes magyarországi kiskereskedelem 2,4%-a már online módon történt.  *2007-ben a FedEx több mint 100 millió csomagot szállított ki az USA-ban, a UPS 3.7 milliárd csomagot szállított ki világszerte.  [[Image:EkereskedelemSzamokban.jpg|{type}|center|600px|{border}|]]  </div> </div> <br/> """;false
AF-Spirál_modell-135;TA-Information System Analyst-134;Spirál modell;Spiral Model;[[Image:Spiral.JPG|center|frame|609px|1. ábra: Spirál modell]]   ''Filozófia:'' A szoftverfolyamatot nem tevékenységek és a közöttük található esetleges visszalépések sorozataként tekinti, hanem inkább spirálként reprezentálja. A spirálban minden egyes kör a szoftverfolyamat egy-egy fázisát reprezentálja (Célok és alternatívák meghatározása, Kockázatok becslése és csökkentése, Következő szintű termék fejlesztése és validálása, Következő fázis tervezése). Nincsenek rögzített fázisok. A spirálokat az igényeknek megfelelően alakítjuk ki. Minden körben ugyanazokat a lépéseket ismételjük, az előzőleg létrehozott termékeket finomítjuk vagy újabb részt hozunk létre.  ''Előnyök:'' Felölelhet más folyamatmodelleket is. A kockázatkezelés explicit módon megjelenik a gyártási folyamatban. Lehetővé teszi a kockázatok korai felismerését. A megrendelőt minden fázisba aktívan bevonja. Az erőforrások elosztására és a költségekre koncentrál.  ''Hátrányok:'' A modell elég komplex, megértése nem egyszerű. Jelentős kockázatkezelési szakértelem szükséges. A nagyszámú köztes iteráció miatt sok, végül felesleges dokumentáció születhet. A modell bonyolult, alkalmazása, munkaigényes. Párhuzamos foglalkoztatás csak a 3. fázisban (Következő szintű termék fejlesztése és validálása) lehet.  ''Alkalmazhatóság:'' Nagyméretű projektek esetében használható. Bonyolult rendszerek kifejlesztésére. ;=Spiral Model=  The development approach presented here, which features the systems development life cycle, is sometimes called the waterfall model: each stage flows into the next. However the reality is different, designers revisit the stages in an itera
TT-Minőségellenőrzés-135;TA-Information System Analyst-134;Minőségellenőrzés;Quality Control;= A minőségellenőrzés fogalma =  Minőségellenőrzés alapelve, hogy állandóan érvényesüljenek az előre rögzített minőségi követelmények. Elsődleges célként a hiba megállapítása említhető, legfőbb módszerei a szabványosítás �;=Quality Control=  Quality Control (QC) is inspection-driven. QC requires the project manager and the project team to inspect the work that’s been done to determine if the work results are in alignment with the stated and implied objectives of the proje
TT-Elektronikus_kereskedelem-135;TA-Gazdaságinformatika-137;E-kereskedelem;false;= Elektronikus kereskedelem fogalma =  Az elektronikus kereskedelem leggyakrabban az Interneten keresztül megvalósuló áru- és szolgáltatás beszerzés és értékesítés.   Az e-kereskedelemnek a résztvevőket tekintve két fontosabb fajtája van:;false
TT-Folyamatszemlélet-135;TA-Information System Analyst-134, TA-Gazdaságinformatika-137;Folyamatszemlélet;false;== Fogalma ==  A vállalati működési felfogás új megközelítése a folyamatokra épülő, azaz folyamatszemléletű megközelítés. A megközelítése szerint a vállalati folyamatok minősége meghatározza egy vállalat teljesítményét, így ve;false
TT-Számítógépes_bűnözés-135;TA-Gazdaságinformatika-137;Számítógépes bűnözés;Cybercrime;      [[label:=Számítógépes_bűnözés| ]] [[id::Számítógépes_bűnözés| ]];=Computer crime, cybercrime=  It is a criminal activity committed on the internet. This is a broad term that describes everything from electronic cracking to denial of service attacks that cause electronic commerce sites to lose money.  Computer crime ref
TT-Elektronikus_közigazgatási_szolgáltatások-135;false;Elektronikus közigazgatási szolgáltatások;false;      [[label:=Elektronikus közigazgatási szolgáltatások| ]] [[id::Elektronikus_közigazgatási_szolgáltatások| ]]  Az e-kormányzat több szereplő felé is nyújt különböző szolgáltatásokat a két legfontosabb szereplő a '''magánszemélyek''' illetve a '''gazdálkodók'''.  ==Magánszemélyek számára== * Jövedelem adó * Szociális juttatások * Gépkocsi regisztráció * Rendőrségi ügyintézés * Születési és házassági anyakönyvi kivonatok * Lakcímváltozás bejelentése * Álláskeresés * Személyes dokumentumok * Építési engedélyek * Közösségi könyvtárak * Felsőoktatási jelentkezés * Egészségügyi szolgáltatások  ==Gazdálkodók számára== * Munkavállalók után fizetendő társadalombiztosítás * Nyereségadó  * ÁFA * Új vállalatok regisztrációja * Statisztikai adatnyújtás * Vám ügyintézés * Környezetvédelmi engedélyezés * Közbeszerzés;false
TT-Csoportmunka_rendszer-135;TA-Information System Analyst-134, TA-Gazdaságinformatika-137;Csoportmunka rendszer;Groupware;      [[label:=Csoportmunka rendszer| ]] [[id::Csoportmunka_rendszer| ]]  ==Fogalma==  A csoportmunka rendszer (groupware) olyan technológia, melynek célja az együttműködés, az ember - számítógép, a számítógép - számítógép közötti interakció támogatása a digitális média segítségével, hogy hozzájáruljon a szervezetek fejlesztéséhez és teljesítményének javításához.  [[A 3C modell]]re támaszkodva azt mondhatjuk, hogy a csoportmunka rendszer olyan eszközök integrált összessége, amelyeknek kommunikációs, kollaborációs és koordinációs lehetőségeit felhasználva az emberek hatékonyan és hatásosan tudnak együtt dolgozni.  A csoportmunka rendszer magába foglal szoftvert, hardvert, szolgáltatásokat és/vagy csoportos munkafolyamatok támogatását.  ==Alternatív megközelítések==  A csoportmunka rendszer fogalma mellett elterjedt még a Számítógéppel támogatott kooperatív munka (CSCW = Computer Supported Cooperative Work) elmélete, amelyet egyes szerzők tágabban értelmeznek, mégpedig úgy, mint egy olyan elméletet, ami segíti a csoportos munka természetének és jellegzetességeinek megértését abból a célból, hogy adekvát számítógépes támogató rendszert alakíthassunk ki hozzá. [Bannon and Schmidt, 1991]  ==Tipikus csoportmunka rendszer elemek==  # E-mail # Naptár és ütemezés # Elektronikus hirdetőtáblák # Együttműködő dokumentum kezelés # Csoportos döntéstámogató rendszerek # Konferencia rendszerek # Audio/video/desktop Meetings #  Csoportos alkalmazás fejlesztés # Workflow és Project Management  ==Irodalom==  ==Kapcsolódó linkek==  * [[A 3C modell]] * [[Iroda]];false
TT-Informatikai_szervezet-135;false;Informatikai szervezet;false;      [[label:=Informatikai szervezet| ]] [[id::Informatikai_szervezet| ]];false
TT-B2B-135;TA-Gazdaságinformatika-137;B2B;false;=A vállalatközi elektronikus kereskedelemről=  Az Interneten folytatott vállalatközi elektronikus kereskedelem, más néven B2B piacok kereskedelme napjainkra a fejlett gazdasággal rendelkező nyugati világ vállalatvezetőinek egyik kedvenc témá;false
TT-BPR-135;TA-Information System Analyst-134, TA-Gazdaságinformatika-137;BPR;false;== Fogalma ==  A BPR, azaz radikális folyamatfejlesztés keretében nem támaszkodunk a vállalatokban meglévő struktúrákra, vagy folyamatokra, hanem csak a folyamatok célját szem előtt tartva tervezzük újra a folyamatokat. A megközelítés ak�;=BPR= 
TT-Emberi_tényezőből_adódó_támadás-135;TA-Gazdaságinformatika-137;Emberi tényezőből adódó támadás;Social Engineering;      [[label:=Emberi tényezőből adódó támadás| ]] [[id::Emberi_tényezőből_adódó_támadás| ]];=Social engineering= Malicious actions performed against people, including deception or the physical theft of sensitive information such as credentials, represent highly effective avenues of attack against computers. In these cases, the errors or failures
OF-A_3C_modell-135;TA-Information System Analyst-134, TA-Gazdaságinformatika-137;A 3C modell;3C Model;==Fogalma==  A 3C modellt C. A. Ellis és munkatársai vezették be 1991-es tanulmányukban a [[Csoportmunka rendszer]]ek elméleti leírására. A Lotus Notes - az egyik legelterjedtebb csoportmunka rendszer - fejlesztésében később ezt vették alapul;false
AF-V_modell-135;TA-Information System Analyst-134;V modell;V Model;[[Image:V.JPG|center|frame|598px|1. ábra: V modell]]    ''Filozófia:'' A létrehozott termékek közvetlenül átkerülnek a következő szakaszba. Bal oldali ágon tervezési, jobb oldali ágon kivitelezési szakaszok. Azokat a termékeket, amiket le kell ellenőrizni, tesztelni a különböző szakaszokban, eltérő szintű hibaellenőrzési eljárásokkal kapcsolja össze, világosan és expliciten kijelölve ezeket a szinteket. Elkülönített tervezési és megvalósítási szakaszok. Minden tervezési fázisok van egy párja a tesztelési fázisok között. A modell jól kifejezi a tervezési folyamat fentről lefelé történő haladását, míg a tesztelési folyamat lentről felfelé halad. A gyakorlatban a különböző fázisok nem szigorúan a megadott sorrendben hajtódnak végre.  ''Előnyök:'' A tesztelés hangsúlyozása.  ''Hátrányok:'' Időigényes.  ''Alkalmazhatóság:'' A biztonságkritikus számítógéprendszerek esetében terjedt el. ;=V Model=  At about the time that the IS community discovered the high cost of error correction, the United States Department of Defense devised a set of processes to control the work of contractors on large, complex weapons systems procurement projects. 
TT-Minőségbiztosítás-135;TA-Information System Analyst-134;Minőségbiztosítás;Quality Assurance;= A minőségbiztosítás fogalma =  A minőségügyi rendszerben alkalmazott és szükség esetén igazolt minden tervezett és módszeres tevékenység, amely megfelelő bizalmat hivatott kelteni arra, hogy az egység teljesíti a minőségi követelmé;=Quality Assurance=  Quality assurance is the process of verifying or determining whether products or services meet or exceed customer expectations. Quality assurance is a process-driven approach with specific steps to help define and attain goals. This p
TT-Projekttervezés-135;TA-Information System Analyst-134, TA-managing_business-119, TA-Gazdaságinformatika-137;Projekttervezés;Project Planning;"<div class=\NavFrame\"" type=\""theomix2\""> <div class=\""NavHead\"">'''Projekt- és minőségtervezés (ábrával)'''</div> <div class=\""NavContent\"">  A projekttervezés során kell meghatározni, hogy pontosan ki, mit, mikor és hogyan fog csinálni. Azonosítani kell a projekt szakaszait, a részfeladatokat, ezek résztvevőit, a projekt költségvetését és felelőseit. Meg kell határozni a mérföldköveket, melyekhez szintén idő-és költségkalkulációt kell készíteni. A tervezési fázis fő terméke a projektterv, melyet a projektmenedzser készít a projektbiztosító csoport közreműködésével a projekt indítása előtt. Tervezéskor először a projekt során előállítandó terméket, majd az ezt létrehozó tevékenységeket kell meghatározni. Részletes termékleírást kell készíteni, el kell készíteni a tevékenységek ütemezését, meg kell becsülni a projekt erőforrás igényeit, valamint szakaszokra kell bontani a projektet. A szakaszhatárok kialakításánál figyelembe kell venni a termékek előállításának sorrendjét, az összefüggő termékeket csoportosítani kell, valamint döntési pontokat kell beiktatni (pl. minőség-ellenőrzés). A teljes projektet átfogó terven felül szakaszterveket kell készíteni, melyeket további részletes szakaszon belüli tervekre kell bontani.  A projektterv olyan dokumentum, amelynek sajátosságai: * előre definiált módszertannak, sémának felel meg * leírja, hogy hogyan, mikor, kik által lehet és kell a projekt céljait elérni * előírás arra vonatkozóan, hogy a termék, idő, költség és minőségi célok hogyan elégíthetők ki   * igényli a projektszervezet megfelelő szintjének jóváhagyását (így a projekttervre a projektmenedzserét és a projektvezetőségét) A tervezéssel szembeni elvárások:  *az egész projekt és minden egyes modul (szakasz) termékeit határozza meg  *minden termékhez rendelje hozzá az előállításához szükséges tevékenységeket *írja elő az alkalmazandó minőségellenőrzési eljárásokat, a minőségellenőrzés módját *határozza meg az erőforrásigényeket *a terv segítse a projekt szereplői, résztvevői közötti kommunikációt, annak egyik eszköze legyen *állapítsa meg a termékek előállításához szükséges időt *tartalmazzon egy, a teljes projektre vonatkozó költség felhasználási diagramot *határozza meg a projektszerepköröket, a hozzájuk tartozó feladatokat, hatásköröket, felelősségeket, és rendelje hozzá személyekhez *tartalmazza azokat az eszközöket (pénzügyi, szervezési, hatalmi), amelyek segítik a fejlesztőcsoport felállítását és az egyes célok elérését *a terv segítse a projekt előrehaladásának ellenőrzését és az ellenőrzési pontok meghatározását. A terv elemei: [[Image:Terv.jpg|thumb|center|640px]]  A '''minőségmenedzsment''' az a vezetési funkció, amely a projekt valamennyi minőségi komponensét az elvárt - és előre meghatározott szinten tartja, mindezt három eszköz segítségével (Görög, 2001): *'''minőségtervezés''': amelyet a projekt kialakításának tevékenységeivel igen szoros összefüggésben és kölcsönhatásban kell elvégezni, hogy az a későbbiekben a minőség-ellenőrzés kiindulási alapját tudja képezni.   A '''minőség''' tervezése a felhasználók minőségi elvárásainak megállapításával kezdődik, később pedig a szabványoknak és minőségi előírásoknak való állandó megfelelést jelenti. A minőségi kritériumok kialakításánál célszerű a projekt mérföldköveihez igazodni, és a mérföldkövek mentén megalkotni a minőségi tervet. A minőségi terv biztosítja számunkra, hogy a fontos vizsgálati pontok nehogy kimaradjanak a folyamatokból.  A terveket mindig a projekt méretének és céljának figyelembevételével kell kialakítani. A terv inkább termék, mint tevékenység központú.  </div> </div> <br/>  <div class=\""NavFrame\"" type=\""theovisu\""> <div class=\""NavHead\"">'''Projekttervezés szemléltetése (ábra)'''</div> <div class=\""NavContent\"">  [[Image:Projektterv.jpg|{type}|center|600px|{border}|]] </div> </div> <br/>  """;=Project Planning=  The purpose of Project Planning is to define the exact parameters of a project and ensure that all the pre-requisites for Project Execution and Control are in place.   Project Planning builds upon the work performed during Project Init
TT-Minőségmenedzsment-135;TA-Information System Analyst-134;Minőségmenedzsment;Quality Management;= Minőségmenedzsment alapfogalmai =  Egy vállalkozás eredményességét, fejlődési lehetőségét nagymértékben meghatározza a működéséről, termékéről / szolgáltatásáról kialakított vélemény, más szóval az a vélekedés, hogy az ;=Quality Management=  Before the concepts and ideas of TQM were formalised, much work had taken place over the centuries to reach this stage. In the late 1940's Japan’s industrial system was virtually destroyed, and it had a reputation for cheap imitati
